"disciplina","programa","Creation Date","Modified Date","Slug","Creator"
"Global Residency III (e.g.,, Americas)","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Leading and Managing Global Organizations","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Macroeconomics","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Professional Communication + Digital Communication","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Quantitative Reasoning: Measurement, Design and Analysis","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Negotiation","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Service Operations Management","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Social Impact Challenge","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Arquitetura de Dados e Aplicações de Data Science em Negócios","EMBA - Executive MBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Strategy in a Global Arena","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Sustainable Finance","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Taxation and Tax Management","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Sustainability Immersion","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Wellness, Health Management and Safety in the Workplace","OneMBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Direito empresarial e Compliance","EMBA - Executive MBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Desvendando os Relatórios Financeiros","EMBA - Executive MBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Estatística Aplicada","EMBA - Executive MBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Economia e Empresas","EMBA - Executive MBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Estratégia da Empresa","EMBA - Executive MBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Laboratório de Negociação Avançada","EMBA - Executive MBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Gestão de Talentos","EMBA - Executive MBA","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
